City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,magdalena,14.1999,121.429,72.36,75,80,12.41,PH,1676585784
203,saint andrews,34.0454,-81.1293,75.29,59,75,10.36,US,1676585784
204,avera,33.194,-82.5271,76.51,60,75,11.07,US,1676585785
205,caiaponia,-16.9567,-51.8103,72.97,85,99,4.97,BR,1676585493
206,sisimiut,66.9395,-53.6735,-1.82,97,100,4.27,GL,1676585786
207,hofn,64.2539,-15.2082,31.93,55,100,11.34,IS,1676585786
208,ossora,59.2353,163.0719,-5.31,85,100,7.02,RU,1676585787
209,kamenka,51.3223,42.7678,5.2,99,98,4.61,RU,1676585788
210,adrar,20.5022,-10.0711,78.15,17,91,14.18,MR,1676585788
211,chicama,-7.8447,-79.1469,79.34,59,88,9.22,PE,1676585788
212,vila do maio,15.1333,-23.2167,68.79,78,5,18.99,CV,1676585789
213,georgetown,5.4112,100.3354,78.73,78,20,5.75,MY,1676585701
214,laguna,38.421,-121.4238,59.31,36,0,6.91,US,1676585789
215,geraldton,-28.7667,114.6,59.41,82,0,8.05,AU,1676585790
216,yelizovo,53.1873,158.3805,6.94,65,20,7.0,RU,1676585790
217,tselina,46.5338,41.0328,17.67,96,81,5.77,RU,1676585791
218,beruwala,6.4788,79.9828,74.88,84,27,3.76,LK,1676585792
219,muros,42.7762,-9.0603,49.84,77,7,8.68,ES,1676585792
220,caravelas,-17.7125,-39.2481,78.85,80,100,7.38,BR,1676585793
221,pedro ii,-4.4247,-41.4586,69.82,90,99,3.29,BR,1676585793
222,pangnirtung,66.1451,-65.7125,-33.72,90,71,5.3,CA,1676585793
223,brewster,41.3973,-73.6171,60.08,84,100,1.36,US,1676585794
224,moussoro,13.6408,16.4901,65.62,15,0,19.51,TD,1676585794
225,yanaul,56.2719,54.9309,15.28,93,100,7.7,RU,1676585794
226,vaitape,-16.5167,-151.75,82.0,72,21,10.04,PF,1676585795
227,seguin,29.5688,-97.9647,55.51,34,100,18.41,US,1676585795
228,hengshui,37.7322,115.7011,35.53,71,59,6.02,CN,1676585578
229,batagay-alyta,67.8006,130.4114,-25.29,88,100,1.99,RU,1676585796
230,dunedin,-45.8742,170.5036,64.8,56,38,3.0,NZ,1676585753
231,pasewalk,53.5063,13.99,45.54,90,100,9.4,DE,1676585796
232,viedma,-40.8135,-62.9967,48.94,75,92,24.2,AR,1676585797
233,augusto correa,-1.0217,-46.635,73.24,99,100,2.39,BR,1676585797
234,atar,20.5169,-13.0499,73.53,29,1,10.51,MR,1676585798
235,pokhara,28.2333,83.9833,57.42,35,0,6.04,NP,1676585706
236,tsogni,-2.7942,10.0988,76.21,90,52,3.87,GA,1676585798
237,sao joao da barra,-21.6403,-41.0511,80.69,90,92,17.87,BR,1676585798
238,ulladulla,-35.35,150.4667,75.42,52,3,4.23,AU,1676585647
239,narrabri,-30.3167,149.7833,78.53,59,0,5.01,AU,1676585799
240,tuatapere,-46.1333,167.6833,62.13,69,94,4.38,NZ,1676585799
241,khatanga,71.9667,102.5,-3.01,96,100,5.84,RU,1676585800
242,hambantota,6.1241,81.1185,70.14,100,20,2.3,LK,1676585800
243,tougan,13.0667,-3.0667,76.77,15,93,9.91,BF,1676585800
244,kapit,2.0167,112.9333,71.01,100,100,0.4,MY,1676585801
245,vao,-22.6667,167.4833,74.97,68,83,10.6,NC,1676585801
246,las guacamayas,18.0167,-102.2167,83.91,47,0,10.51,MX,1676585801
247,cidreira,-30.1811,-50.2056,76.96,83,33,18.03,BR,1676585802
248,aklavik,68.2191,-135.0107,-27.4,68,40,5.75,CA,1676585802
249,luan,46.3592,6.9759,34.61,73,92,1.99,CH,1676585802
250,gat,31.61,34.7642,49.41,100,3,2.75,IL,1676585803
251,kletnya,53.3897,33.2171,13.23,98,68,5.84,RU,1676585803
252,fort stewart,31.8722,-81.61,80.69,57,40,5.75,US,1676585803
253,tazovskiy,67.4667,78.7,27.97,95,100,21.5,RU,1676585804
254,chama,47.1821,8.4636,46.08,70,75,0.0,CH,1676585804
255,morgan city,29.6994,-91.2068,76.01,94,100,11.5,US,1676585804
256,juneau,58.3019,-134.4197,38.21,94,75,5.75,US,1676585659
257,troitsko-pechorsk,62.7084,56.1964,-10.21,100,99,2.64,RU,1676585805
258,yumen,40.2833,97.2,29.44,60,100,9.22,CN,1676585805
259,durban,-29.8579,31.0292,74.32,84,100,12.66,ZA,1676585806
260,dukat,62.55,155.55,-29.31,98,100,4.97,RU,1676585806
261,macherla,16.4833,79.4333,68.7,75,5,4.09,IN,1676585807
262,constitucion,-35.3333,-72.4167,68.38,46,92,17.2,CL,1676585807
263,ninghai,29.2892,121.4247,39.11,88,3,3.83,CN,1676585807
264,teeli,51.0333,90.2333,-10.75,89,25,2.59,RU,1676585808
265,pangkalanbuun,-2.6833,111.6167,73.26,99,100,2.24,ID,1676585808
266,yeppoon,-23.1333,150.7333,76.78,63,100,11.9,AU,1676585808
267,saint-augustin,51.226,-58.6502,32.97,98,100,10.2,CA,1676585809
268,awbari,26.5921,12.7805,51.35,41,94,8.79,LY,1676585809
269,constantine,36.365,6.6147,45.81,65,0,5.75,DZ,1676585700
