City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,geraldton,-28.7667,114.6,59.41,82,0,8.05,AU,1676583721
279,tiksi,71.6872,128.8694,-11.47,97,100,4.76,RU,1676584237
280,bardsir,29.9227,56.5743,51.98,30,28,20.8,IR,1676584237
281,lucenec,48.3325,19.6671,33.69,89,99,2.77,SK,1676584237
282,airai,-8.9266,125.4092,61.02,88,99,1.54,TL,1676583741
283,paita,-5.0892,-81.1144,79.41,70,53,12.5,PE,1676584238
284,ilulissat,69.2167,-51.1,-2.18,84,100,4.61,GL,1676583758
285,olean,42.0776,-78.4297,57.88,66,0,0.0,US,1676584206
286,mackay,-21.15,149.2,80.69,67,97,12.97,AU,1676583940
287,vondrozo,-22.8167,47.2833,68.2,98,91,1.83,MG,1676584239
288,mattru,7.6244,-11.8332,77.31,84,83,2.73,SL,1676584239
289,beyneu,45.3167,55.2,23.18,87,59,13.73,KZ,1676584239
290,birchis,45.9667,22.1667,35.58,83,87,1.34,RO,1676584240
291,ndele,8.4109,20.6473,73.38,20,100,8.1,CF,1676584240
292,lucera,41.5082,15.3351,47.08,100,89,2.3,IT,1676584241
293,winnemucca,40.973,-117.7357,37.27,30,37,4.81,US,1676584241
294,guerrero negro,27.9769,-114.0611,62.78,19,0,1.59,MX,1676583688
295,arroyo,41.6096,-4.7969,50.59,58,0,8.05,ES,1676584225
296,komsomolskiy,40.4272,71.7189,39.92,93,100,2.3,UZ,1676583803
297,lisala,2.15,21.5167,77.16,31,48,2.01,CD,1676584242
298,taktaharkany,48.0833,21.1333,36.55,86,95,1.83,HU,1676584242
299,muddebihal,16.3333,76.1333,71.13,23,41,8.48,IN,1676584242
300,dhone,15.4167,77.8833,68.88,58,17,2.86,IN,1676584243
301,tezu,27.9167,96.1667,64.94,49,34,3.89,IN,1676584243
302,puro,12.4841,123.3827,75.2,79,61,20.07,PH,1676584243
303,benjamin aceval,-24.9667,-57.5667,71.74,57,71,8.55,PY,1676584244
304,sungurlu,40.1675,34.3739,26.94,80,17,3.76,TR,1676584244
305,vardo,70.3705,31.1107,31.98,93,100,29.93,NO,1676583681
306,toropets,56.4978,31.6353,14.5,95,97,9.01,RU,1676583808
307,guarapari,-20.6667,-40.4975,79.9,88,71,16.2,BR,1676584232
308,joshimath,30.5667,79.5667,50.18,36,4,8.39,IN,1676584245
309,prescott valley,34.5894,-112.3252,42.96,41,0,3.0,US,1676584217
310,pangnirtung,66.1451,-65.7125,-27.4,37,0,2.3,CA,1676584245
311,senneterre,48.3835,-77.2328,8.37,90,100,4.99,CA,1676584036
312,san patricio,28.017,-97.5169,62.46,40,100,20.54,US,1676584246
313,kahului,20.8947,-156.47,80.83,68,40,5.75,US,1676583694
314,saint-pierre,-21.3393,55.4781,73.9,60,0,4.61,RE,1676584246
315,mgandu,-5.95,34.1333,62.85,89,89,0.89,TZ,1676584247
316,mantua,45.1667,10.7833,47.44,84,24,1.16,IT,1676584247
317,mount dora,28.8025,-81.6445,84.88,49,20,6.91,US,1676583991
318,ola,59.5833,151.2833,-1.86,85,100,8.19,RU,1676584248
319,nome,64.5011,-165.4064,-6.84,77,0,0.0,US,1676583820
320,bissora,12.2231,-15.4475,77.07,60,67,6.73,GW,1676584248
321,uray,60.1247,64.7758,-1.52,99,34,4.88,RU,1676584248
322,khasan,42.4308,130.6434,19.62,85,14,4.18,RU,1676583697
323,sinnamary,5.3833,-52.95,76.17,88,67,9.82,GF,1676583764
324,oboyan,51.2098,36.2792,9.14,99,100,3.53,RU,1676584249
325,baoqing,46.3317,132.2111,8.94,88,91,5.14,CN,1676584249
326,taoudenni,22.6783,-3.9836,73.6,16,27,10.65,ML,1676583743
327,otane,-39.8833,176.6333,62.01,72,84,12.01,NZ,1676584250
328,awbari,26.5921,12.7805,51.35,41,94,8.79,LY,1676583730
329,dingle,10.9995,122.6711,73.36,83,100,13.96,PH,1676583680
330,miraflores,19.2167,-98.8083,82.02,10,0,5.23,MX,1676584251
331,san rafael,-34.6177,-68.3301,66.25,29,3,18.68,AR,1676584112
332,yuksekova,37.5736,44.2872,-7.85,84,40,3.44,TR,1676584252
333,kohima,25.6667,94.1167,52.66,64,25,3.18,IN,1676584252
334,koulamoutou,-1.1303,12.4736,74.23,80,60,2.53,GA,1676584253
335,homer,59.6425,-151.5483,29.77,72,0,5.99,US,1676584254
336,bontang,0.1333,117.5,75.69,89,100,4.38,ID,1676584254
337,roshchino,60.2519,29.6085,24.91,94,100,11.7,RU,1676584254
338,tlapehuala,18.2167,-100.5167,98.19,12,0,4.0,MX,1676584254
339,dongying,37.4564,118.4856,36.73,63,17,4.45,CN,1676584255
340,sao gabriel da cachoeira,-0.1303,-67.0892,87.6,70,40,4.61,BR,1676584255
341,ampanihy,-24.7,44.75,76.21,72,94,3.56,MG,1676584255
342,libreville,0.3925,9.4537,84.22,79,40,5.75,GA,1676584256
343,luganville,-15.5333,167.1667,80.37,76,94,5.44,VU,1676584070
344,vila franca do campo,37.7167,-25.4333,57.61,84,12,7.45,PT,1676583711
